loan_amnt,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,dti
30000, 36 months,5.32,A,A1,10+ years,MORTGAGE,225000.0,Oct-2017,Fully Paid,debt_consolidation,17.37
8200, 36 months,8.24,B,B1,1 year,MORTGAGE,52250.0,Nov-2016,Fully Paid,credit_card,16.17
15000, 36 months,13.67,B,B5,2 years,OWN,44000.0,Jul-2012,Charged Off,credit_card,21.01
7000, 36 months,7.89,A,A5,10+ years,RENT,52000.0,Jul-2015,Fully Paid,car,20.77
6950, 36 months,17.76,D,D1,6 years,RENT,35000.0,Sep-2013,Fully Paid,credit_card,29.68
35000, 36 months,11.49,B,B5,10+ years,MORTGAGE,190000.0,Nov-2015,Fully Paid,debt_consolidation,19.15
2975, 36 months,12.99,C,C1,< 1 year,OWN,14500.0,Sep-2014,Fully Paid,credit_card,27.65
3000, 36 months,11.39,B,B3,10+ years,OWN,81000.0,Nov-2016,Current,other,31.99
8000, 36 months,7.07,A,A2,5 years,RENT,200000.0,Oct-2017,Fully Paid,moving,10.43
16000, 36 months,16.02,C,C5,2 years,MORTGAGE,100000.0,Jan-2018,Current,debt_consolidation,29.56
18875, 60 months,23.43,F,F1,,RENT,45000.0,Jul-2014,Fully Paid,debt_consolidation,19.04
4000, 36 months,11.99,C,C1,5 years,MORTGAGE,45000.0,Dec-2015,Fully Paid,other,15.55
28000, 60 months,19.99,E,E4,10+ years,MORTGAGE,141000.0,Jul-2015,Fully Paid,debt_consolidation,18.7
9800, 36 months,7.89,A,A5,7 years,MORTGAGE,240000.0,Jun-2016,Fully Paid,debt_consolidation,16.17
34900, 60 months,14.08,C,C3,< 1 year,MORTGAGE,48000.0,Jul-2017,Current,debt_consolidation,18.93
10000, 36 months,8.46,A,A5,10+ years,MORTGAGE,120000.0,Jul-2018,Current,credit_card,12.17
25000, 60 months,18.2,E,E1,10+ years,OWN,104000.0,Nov-2015,Charged Off,house,18.01
15000, 36 months,16.24,C,C5,6 years,MORTGAGE,47943.0,Feb-2014,Fully Paid,debt_consolidation,15.57
6000, 36 months,12.62,C,C1,3 years,RENT,35000.0,Sep-2017,Current,debt_consolidation,53.74
12000, 60 months,11.8,B,B4,6 years,RENT,80000.0,Dec-2018,Current,credit_card,13.29
22000, 60 months,10.99,B,B4,2 years,RENT,46000.0,Aug-2015,Current,debt_consolidation,39.03
19075, 60 months,15.31,C,C2,10+ years,MORTGAGE,43000.0,Mar-2013,Fully Paid,credit_card,21.46
10000, 36 months,8.67,B,B1,,MORTGAGE,70000.0,Jan-2015,Fully Paid,home_improvement,33.45
11625, 36 months,18.25,D,D3,,OWN,30000.0,Jan-2014,Fully Paid,home_improvement,15.92
24000, 36 months,12.99,C,C2,10+ years,MORTGAGE,90000.0,Feb-2016,Fully Paid,debt_consolidation,17.51
10000, 36 months,9.67,B,B1,< 1 year,MORTGAGE,28800.0,Feb-2014,Fully Paid,credit_card,11.04
5950, 36 months,11.14,B,B2,9 years,MORTGAGE,75000.0,Apr-2013,Fully Paid,debt_consolidation,16.79
7000, 36 months,12.74,C,C1,10+ years,MORTGAGE,60000.0,Mar-2017,Fully Paid,debt_consolidation,17.66
25500, 60 months,18.2,E,E1,1 year,OWN,118639.0,Dec-2015,Fully Paid,home_improvement,24.4
4200, 36 months,16.99,D,D3,2 years,OWN,25000.0,Sep-2015,Charged Off,debt_consolidation,36.29
30000, 60 months,17.86,D,D5,2 years,RENT,93000.0,Apr-2015,Fully Paid,debt_consolidation,19.87
25000, 36 months,5.93,A,A1,6 years,RENT,160000.0,Feb-2015,Fully Paid,credit_card,14.06
12000, 36 months,9.93,B,B2,2 years,MORTGAGE,45000.0,Jul-2017,Current,debt_consolidation,25.55
25000, 60 months,18.94,D,D2,2 years,MORTGAGE,47840.0,Sep-2018,Current,debt_consolidation,14.3
3500, 36 months,11.67,B,B4,6 years,MORTGAGE,80000.0,Jun-2014,Fully Paid,credit_card,8.12
12000, 60 months,10.47,B,B2,4 years,MORTGAGE,45000.0,Oct-2018,Current,credit_card,10.29
23000, 60 months,13.59,C,C2,10+ years,MORTGAGE,73500.0,May-2017,Current,credit_card,18.42
11000, 36 months,15.99,C,C5,2 years,MORTGAGE,44000.0,Mar-2017,Current,debt_consolidation,18.49
5000, 36 months,21.85,D,D5,3 years,RENT,60000.0,Apr-2018,Current,major_purchase,13.1
21000, 36 months,10.99,B,B4,10+ years,MORTGAGE,105644.0,Jun-2015,Fully Paid,debt_consolidation,28.92
9600, 36 months,13.49,C,C2,10+ years,MORTGAGE,50000.0,Jul-2016,Charged Off,home_improvement,31.59
20025, 36 months,25.34,E,E3,1 year,MORTGAGE,150000.0,Dec-2018,Current,small_business,5.22
6000, 36 months,13.99,C,C3,10+ years,MORTGAGE,60000.0,Sep-2016,Current,home_improvement,9.4
7200, 36 months,13.99,C,C3,3 years,RENT,52000.0,Dec-2016,Charged Off,credit_card,7.64
10000, 36 months,8.24,B,B1,< 1 year,RENT,72000.0,Dec-2016,Current,debt_consolidation,2.03
9875, 36 months,16.99,D,D3,1 year,RENT,60000.0,Oct-2014,Fully Paid,credit_card,7.55
2000, 36 months,7.84,A,A4,,RENT,28000.0,Nov-2018,Fully Paid,debt_consolidation,22.07
6000, 36 months,10.42,B,B3,10+ years,RENT,70000.0,Jan-2018,Current,medical,7.17
6475, 36 months,6.49,A,A2,10+ years,MORTGAGE,49000.0,Mar-2016,Current,credit_card,15.53
40000, 60 months,15.99,C,C5,8 years,MORTGAGE,115000.0,Mar-2017,Current,debt_consolidation,29.93
30100, 36 months,10.49,B,B2,10+ years,MORTGAGE,75000.0,Jan-2017,Fully Paid,debt_consolidation,30.22
24000, 60 months,13.18,C,C3,8 years,RENT,102500.0,Nov-2015,Fully Paid,debt_consolidation,28.51
21600, 60 months,9.99,B,B3,6 years,MORTGAGE,65000.0,Aug-2015,Current,debt_consolidation,17.78
14400, 36 months,13.35,C,C2,10+ years,MORTGAGE,37000.0,Jul-2014,Fully Paid,credit_card,22.32
21000, 36 months,8.9,A,A5,1 year,MORTGAGE,75000.0,Feb-2014,Fully Paid,debt_consolidation,20.91
10000, 36 months,11.99,B,B5,10+ years,MORTGAGE,63900.0,Oct-2017,Fully Paid,debt_consolidation,23.06
40000, 60 months,16.02,C,C5,< 1 year,MORTGAGE,110000.0,Jun-2017,Current,debt_consolidation,26.88
15000, 36 months,11.49,B,B5,10+ years,MORTGAGE,250000.0,Nov-2016,Fully Paid,credit_card,18.24
8000, 36 months,12.99,C,C1,7 years,MORTGAGE,29000.0,Oct-2014,Fully Paid,debt_consolidation,31.21
21350, 36 months,6.0,D,D3,9 years,RENT,69000.0,Nov-2014,Fully Paid,debt_consolidation,27.77
2800, 36 months,9.43,B,B1,2 years,RENT,100000.0,Mar-2018,Fully Paid,credit_card,20.23
6000, 36 months,8.18,B,B1,4 years,RENT,36000.0,Nov-2015,Fully Paid,debt_consolidation,9.11
35000, 60 months,14.08,C,C3,5 years,OWN,138000.0,Nov-2017,Fully Paid,debt_consolidation,22.31
20000, 60 months,9.99,B,B3,10+ years,RENT,85000.0,Oct-2015,Current,debt_consolidation,16.6
16425, 36 months,16.29,D,D1,9 years,MORTGAGE,90000.0,May-2016,Fully Paid,vacation,33.93
40000, 60 months,12.62,C,C1,10+ years,RENT,100000.0,Oct-2017,Fully Paid,medical,4.52
15000, 36 months,5.32,A,A1,,OWN,65000.0,Apr-2017,Fully Paid,debt_consolidation,5.5
15000, 36 months,15.04,C,C4,2 years,MORTGAGE,49000.0,Mar-2018,Current,debt_consolidation,29.93
15000, 60 months,17.09,D,D1,< 1 year,RENT,75000.0,May-2017,Fully Paid,debt_consolidation,25.71
14000, 36 months,14.03,C,C2,5 years,RENT,88000.0,Jun-2018,Current,credit_card,16.05
15600, 36 months,9.17,B,B2,,RENT,72200.0,Dec-2015,Fully Paid,debt_consolidation,25.6
9500, 36 months,20.75,E,E2,5 years,OWN,28000.0,Apr-2016,Current,debt_consolidation,37.85
20000, 36 months,8.24,B,B1,4 years,MORTGAGE,62500.0,Oct-2016,Late (31-120 days),credit_card,20.26
16000, 36 months,7.62,A,A3,4 years,MORTGAGE,67800.0,Aug-2012,Fully Paid,debt_consolidation,13.08
17700, 36 months,13.33,C,C3,5 years,RENT,42000.0,May-2015,Charged Off,credit_card,14.63
2150, 36 months,21.49,D,D5,3 years,MORTGAGE,81000.0,Dec-2016,Fully Paid,other,7.08
20000, 60 months,14.65,C,C5,,MORTGAGE,46212.0,May-2015,Charged Off,credit_card,28.67
20000, 36 months,7.39,A,A4,10+ years,OWN,90000.0,Apr-2016,Fully Paid,credit_card,8.8
10000, 36 months,9.44,B,B1,7 years,RENT,74000.0,Nov-2017,Current,debt_consolidation,24.81
17475, 60 months,17.1,C,C5,8 years,MORTGAGE,80000.0,Sep-2013,Fully Paid,debt_consolidation,23.78
18600, 36 months,7.89,A,A5,10+ years,RENT,175000.0,Jul-2015,Fully Paid,debt_consolidation,15.93
18000, 36 months,11.99,C,C1,< 1 year,RENT,80000.0,Jan-2016,Fully Paid,debt_consolidation,5.39
18000, 60 months,14.99,C,C4,8 years,MORTGAGE,65000.0,Dec-2016,Fully Paid,major_purchase,15.23
10000, 36 months,11.99,B,B3,2 years,RENT,45000.0,Dec-2013,Fully Paid,credit_card,19.36
18500, 36 months,9.16,B,B2,2 years,MORTGAGE,62500.0,May-2016,Current,major_purchase,12.25
21600, 36 months,16.99,D,D1,,MORTGAGE,62000.0,Aug-2016,Charged Off,debt_consolidation,17.32
3000, 36 months,11.49,B,B5,2 years,OWN,25000.0,May-2017,Fully Paid,credit_card,21.65
18000, 36 months,8.24,B,B1,< 1 year,MORTGAGE,55000.0,May-2017,Fully Paid,debt_consolidation,9.67
10000, 60 months,9.99,B,B3,10+ years,OWN,65000.0,Oct-2015,Current,debt_consolidation,21.42
30000, 60 months,12.99,C,C2,10+ years,RENT,125000.0,Mar-2016,Fully Paid,debt_consolidation,12.09
10000, 36 months,8.46,A,A5,9 years,MORTGAGE,350000.0,Oct-2018,Current,debt_consolidation,11.44
40000, 60 months,9.58,B,B1,< 1 year,RENT,145000.0,May-2018,Current,other,6.68
14000, 60 months,14.33,C,C5,10+ years,MORTGAGE,105000.0,Nov-2015,Fully Paid,debt_consolidation,21.92
35000, 36 months,15.8,C,C3,3 years,MORTGAGE,83895.0,May-2013,Charged Off,debt_consolidation,19.6
15000, 36 months,10.91,B,B4,9 years,MORTGAGE,97000.0,Dec-2017,Current,credit_card,36.1
6250, 36 months,13.11,B,B4,6 years,RENT,32000.0,Jun-2013,Fully Paid,debt_consolidation,23.74
21850, 36 months,14.49,C,C4,1 year,RENT,57500.0,Jun-2016,Fully Paid,debt_consolidation,9.06
16000, 60 months,11.99,B,B5,2 years,RENT,48600.0,Aug-2017,Current,debt_consolidation,41.04
2500, 36 months,6.99,A,A2,10+ years,OWN,52500.0,Aug-2016,Current,home_improvement,28.94
1000, 36 months,15.61,D,D1,9 years,OWN,35000.0,Jul-2015,Fully Paid,other,22.81
9450, 36 months,6.03,A,A1,1 year,RENT,67000.0,Nov-2012,Fully Paid,other,20.18
6000, 36 months,7.07,A,A2,3 years,MORTGAGE,52000.0,Oct-2017,Fully Paid,home_improvement,21.14
2500, 36 months,10.91,B,B4,2 years,RENT,91000.0,Dec-2017,Fully Paid,debt_consolidation,12.99
10000, 36 months,11.53,B,B5,,MORTGAGE,58000.0,Mar-2015,Fully Paid,debt_consolidation,10.97
20000, 36 months,17.97,D,D1,6 years,RENT,40000.0,Aug-2018,Fully Paid,debt_consolidation,29.55
40000, 60 months,12.62,C,C1,1 year,MORTGAGE,150000.0,Nov-2017,Current,home_improvement,5.66
35000, 60 months,17.97,D,D1,10+ years,OWN,45000.0,Jul-2018,Current,other,12.93
35000, 60 months,13.33,C,C3,1 year,RENT,87000.0,Oct-2015,Fully Paid,debt_consolidation,24.87
10400, 36 months,14.65,C,C5,4 years,MORTGAGE,48000.0,Oct-2015,Fully Paid,debt_consolidation,19.58
1600, 36 months,30.84,G,G2,5 years,MORTGAGE,40000.0,Aug-2018,Late (16-30 days),other,30.45
11000, 60 months,16.01,C,C5,,RENT,115000.0,May-2018,Fully Paid,credit_card,23.05
30000, 36 months,8.59,A,A5,2 years,MORTGAGE,120000.0,Jun-2016,Current,debt_consolidation,17.75
18000, 60 months,15.8,C,C3,10+ years,MORTGAGE,155000.0,Apr-2013,Fully Paid,debt_consolidation,8.02
21000, 60 months,20.2,E,E3,4 years,MORTGAGE,82125.0,Jul-2014,Fully Paid,debt_consolidation,13.02
35000, 36 months,16.99,D,D1,10+ years,MORTGAGE,125000.0,Apr-2017,Current,credit_card,20.0
32000, 36 months,8.24,B,B1,2 years,MORTGAGE,160000.0,Feb-2017,Current,credit_card,9.08
20000, 36 months,14.99,C,C4,1 year,RENT,60000.0,Apr-2017,Current,debt_consolidation,8.28
10000, 36 months,9.16,B,B2,10+ years,OWN,140000.0,Apr-2016,Fully Paid,credit_card,9.18
5000, 36 months,5.32,A,A1,,RENT,46000.0,Nov-2016,Fully Paid,debt_consolidation,19.51
25000, 60 months,20.0,D,D4,10+ years,RENT,90000.0,Nov-2017,Current,credit_card,22.22
8000, 36 months,11.67,B,B4,10+ years,RENT,50000.0,Jul-2014,Fully Paid,debt_consolidation,20.72
10000, 36 months,6.08,A,A2,7 years,MORTGAGE,167000.0,Dec-2017,Current,credit_card,10.75
15000, 36 months,7.12,A,A3,1 year,RENT,35000.0,Jul-2014,Fully Paid,credit_card,23.01
2000, 36 months,18.99,E,E1,10+ years,RENT,24000.0,Jul-2014,Fully Paid,debt_consolidation,21.9
4000, 36 months,15.61,C,C4,,RENT,68340.0,Dec-2013,Fully Paid,debt_consolidation,21.91
6000, 36 months,9.44,B,B1,10+ years,RENT,60000.0,May-2017,Fully Paid,credit_card,3.56
5000, 36 months,10.42,B,B3,4 years,RENT,20000.0,Aug-2017,Current,other,14.21
8400, 36 months,12.74,C,C1,3 years,RENT,25000.0,May-2017,Current,credit_card,13.49
7000, 36 months,7.49,A,A4,2 years,MORTGAGE,48000.0,Dec-2016,Fully Paid,home_improvement,23.08
4000, 36 months,12.79,C,C1,6 years,RENT,50000.0,Sep-2016,Fully Paid,other,19.14
35000, 60 months,17.57,D,D4,10+ years,MORTGAGE,137000.0,May-2015,Current,credit_card,20.94
4500, 36 months,7.97,A,A5,10+ years,MORTGAGE,113000.0,Jun-2017,Current,medical,19.37
32000, 60 months,14.49,C,C4,6 years,MORTGAGE,120000.0,Sep-2016,Fully Paid,debt_consolidation,23.03
12950, 60 months,18.54,E,E1,< 1 year,MORTGAGE,65000.0,Jan-2015,Fully Paid,credit_card,27.44
30000, 36 months,17.09,D,D1,4 years,RENT,97000.0,Sep-2017,Current,debt_consolidation,15.02
6000, 36 months,7.26,A,A4,1 year,RENT,42000.0,Oct-2015,Fully Paid,debt_consolidation,26.89
18000, 36 months,10.47,B,B2,2 years,RENT,48500.0,Oct-2018,Current,credit_card,18.51
30000, 60 months,7.35,A,A4,4 years,MORTGAGE,250000.0,Dec-2017,Current,debt_consolidation,3.0
11200, 36 months,13.99,C,C3,1 year,RENT,70000.0,Jul-2016,Charged Off,debt_consolidation,17.3
4750, 36 months,18.49,D,D2,4 years,MORTGAGE,50000.0,Mar-2013,Fully Paid,debt_consolidation,23.14
21000, 60 months,10.99,B,B4,10+ years,OWN,100000.0,Nov-2015,Fully Paid,home_improvement,16.67
10000, 36 months,7.59,A,A3,5 years,OWN,38750.0,Aug-2016,Current,debt_consolidation,15.67
24875, 60 months,13.49,C,C2,10+ years,MORTGAGE,63000.0,Mar-2017,Current,debt_consolidation,16.61
12500, 36 months,6.49,A,A2,10+ years,RENT,80000.0,Jun-2016,Fully Paid,major_purchase,1.14
6000, 36 months,10.47,B,B2,10+ years,MORTGAGE,75000.0,Oct-2018,Current,credit_card,26.93
6000, 36 months,6.99,A,A2,10+ years,RENT,40000.0,Jan-2017,Fully Paid,credit_card,5.22
9000, 36 months,9.93,B,B2,10+ years,MORTGAGE,48000.0,Jul-2017,Fully Paid,home_improvement,4.25
5000, 36 months,10.56,B,B3,3 years,MORTGAGE,55000.0,Jun-2018,Current,home_improvement,10.56
2975, 36 months,19.52,D,D4,4 years,OWN,56000.0,Aug-2013,Fully Paid,debt_consolidation,15.56
14000, 60 months,12.79,C,C1,6 years,MORTGAGE,55000.0,Jul-2016,Current,debt_consolidation,14.4
20000, 36 months,11.49,B,B5,3 years,MORTGAGE,90000.0,Apr-2017,Fully Paid,credit_card,23.37
8600, 36 months,8.18,B,B1,,MORTGAGE,25524.0,Nov-2015,Fully Paid,debt_consolidation,17.84
14000, 60 months,14.99,C,C5,10+ years,MORTGAGE,100000.0,Jan-2015,Current,debt_consolidation,7.88
12000, 60 months,16.99,D,D3,10+ years,MORTGAGE,47000.0,Dec-2015,Charged Off,debt_consolidation,38.43
7200, 36 months,9.17,B,B2,4 years,MORTGAGE,90000.0,May-2015,Fully Paid,debt_consolidation,13.76
16000, 60 months,25.49,E,E4,4 years,OWN,95000.0,Nov-2016,Fully Paid,credit_card,16.99
3850, 36 months,7.99,A,A4,1 year,RENT,45000.0,Jun-2016,Fully Paid,debt_consolidation,22.05
35000, 60 months,18.54,E,E1,10+ years,MORTGAGE,70216.0,Jan-2015,Charged Off,home_improvement,9.96
25000, 36 months,7.96,A,A5,7 years,MORTGAGE,88000.0,Apr-2018,Current,credit_card,14.59
23325, 36 months,13.11,B,B4,7 years,RENT,47000.0,Mar-2012,Fully Paid,credit_card,21.18
40000, 36 months,6.11,A,A1,10+ years,MORTGAGE,250000.0,Sep-2018,Current,debt_consolidation,9.07
7500, 36 months,9.92,B,B2,< 1 year,RENT,35000.0,Apr-2018,Fully Paid,debt_consolidation,6.41
3200, 36 months,7.46,A,A4,4 years,MORTGAGE,60000.0,May-2018,Current,house,28.18
18475, 60 months,26.99,F,F3,< 1 year,RENT,42000.0,Aug-2016,Charged Off,debt_consolidation,23.69
10000, 36 months,7.46,A,A4,4 years,RENT,30000.0,May-2018,Current,debt_consolidation,24.24
10000, 36 months,9.16,B,B2,2 years,MORTGAGE,49800.0,Feb-2016,Fully Paid,home_improvement,4.22
6500, 36 months,6.72,A,A3,3 years,MORTGAGE,75000.0,Dec-2017,Current,credit_card,11.05
12000, 60 months,10.47,B,B2,,RENT,41914.0,Aug-2018,Fully Paid,debt_consolidation,21.74
25000, 36 months,12.69,C,C2,4 years,RENT,180000.0,Oct-2015,Fully Paid,major_purchase,4.83
2000, 36 months,16.91,C,C5,2 years,MORTGAGE,103000.0,Dec-2018,Fully Paid,home_improvement,28.35
8900, 36 months,6.08,A,A2,2 years,MORTGAGE,70000.0,Jan-2018,Current,debt_consolidation,31.2
