loan_amnt,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,dti
12000, 36 months,14.09,B,B5,3 years,MORTGAGE,55000.0,Jan-2013,Fully Paid,debt_consolidation,16.08
15000, 36 months,5.32,A,A1,1 year,MORTGAGE,80000.0,Jun-2017,Current,debt_consolidation,28.53
4800, 36 months,14.65,C,C5,1 year,RENT,31966.82,Jun-2015,Fully Paid,debt_consolidation,8.75
21700, 36 months,10.49,B,B3,3 years,RENT,60000.0,Jan-2015,Fully Paid,debt_consolidation,21.0
15000, 60 months,18.54,E,E1,,MORTGAGE,46656.0,Nov-2014,Charged Off,debt_consolidation,16.44
7000, 36 months,11.99,B,B5,5 years,OWN,140000.0,Nov-2014,Charged Off,debt_consolidation,11.17
18000, 36 months,7.59,A,A3,10+ years,MORTGAGE,220000.0,Jul-2016,Fully Paid,credit_card,4.48
6075, 36 months,23.88,E,E2,7 years,RENT,37400.0,Jul-2017,Current,debt_consolidation,33.09
6000, 36 months,22.99,F,F2,< 1 year,RENT,20000.0,Jan-2016,Fully Paid,debt_consolidation,14.59
12000, 36 months,10.99,B,B3,10+ years,MORTGAGE,42000.0,Jul-2014,Fully Paid,debt_consolidation,22.1
15000, 60 months,15.59,C,C5,5 years,RENT,135000.0,Aug-2016,Current,moving,8.76
40000, 36 months,6.72,A,A3,10+ years,OWN,130000.0,Jan-2018,Fully Paid,debt_consolidation,8.65
15000, 36 months,14.31,C,C4,5 years,MORTGAGE,71000.0,Dec-2014,Charged Off,debt_consolidation,23.63
6000, 36 months,11.47,B,B5,10+ years,RENT,50000.0,May-2016,Current,debt_consolidation,16.47
15000, 36 months,7.21,A,A3,,OWN,69000.0,Jul-2018,Current,debt_consolidation,11.46
10000, 36 months,12.62,C,C1,10+ years,MORTGAGE,86000.0,Jan-2018,Current,small_business,36.84
21800, 60 months,21.45,D,D5,10+ years,MORTGAGE,75143.0,Dec-2017,Current,other,9.31
21000, 36 months,8.9,A,A5,10+ years,MORTGAGE,95000.0,Dec-2012,Fully Paid,debt_consolidation,8.56
10000, 36 months,9.75,B,B3,10+ years,MORTGAGE,55000.0,Mar-2016,Current,debt_consolidation,6.52
11000, 60 months,11.98,B,B5,6 years,MORTGAGE,34360.0,Mar-2018,Current,credit_card,32.58
20000, 36 months,13.67,C,C3,2 years,RENT,75000.0,Feb-2016,Fully Paid,major_purchase,21.63
10000, 36 months,5.32,A,A1,,RENT,37000.0,Mar-2016,Current,debt_consolidation,21.3
21000, 36 months,11.53,B,B5,9 years,RENT,107000.0,Apr-2015,Fully Paid,debt_consolidation,20.99
10000, 36 months,8.9,A,A5,6 years,RENT,108000.0,Jul-2013,Fully Paid,debt_consolidation,4.01
15000, 36 months,11.39,B,B3,1 year,MORTGAGE,79000.0,May-2017,Fully Paid,home_improvement,11.48
