loan_amnt,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,dti
15000, 36 months,10.99,B,B3,1 year,MORTGAGE,50000.0,Oct-2014,Fully Paid,debt_consolidation,25.92
21000, 60 months,18.25,D,D3,1 year,RENT,130000.0,Mar-2016,Current,debt_consolidation,21.44
25000, 60 months,12.62,C,C1,10+ years,MORTGAGE,100000.0,Dec-2017,Late (31-120 days),debt_consolidation,3.91
5000, 36 months,7.9,A,A4,4 years,MORTGAGE,48000.0,Mar-2012,Fully Paid,debt_consolidation,23.65
20000, 36 months,11.55,B,B4,10+ years,RENT,45000.0,Aug-2018,Current,debt_consolidation,14.67
5000, 60 months,15.99,D,D2,10+ years,RENT,65004.0,Jun-2011,Charged Off,other,3.43
7200, 36 months,7.91,A,A5,10+ years,MORTGAGE,75000.0,Dec-2015,Charged Off,debt_consolidation,27.33
2800, 36 months,15.31,C,C5,3 years,RENT,53000.0,Jun-2016,Current,debt_consolidation,17.5
13000, 60 months,9.99,B,B3,8 years,RENT,32000.0,Aug-2015,Current,credit_card,7.99
4800, 36 months,7.89,A,A5,2 years,MORTGAGE,71000.0,Aug-2015,Fully Paid,debt_consolidation,21.71
11200, 36 months,9.49,B,B2,10+ years,MORTGAGE,30000.0,Oct-2016,Fully Paid,debt_consolidation,19.08
28000, 60 months,28.72,F,F1,1 year,MORTGAGE,80000.0,Sep-2018,Current,credit_card,26.79
1000, 36 months,14.99,C,C5,< 1 year,RENT,100000.0,Nov-2014,Fully Paid,major_purchase,20.1
4800, 36 months,6.19,A,A2,< 1 year,MORTGAGE,144976.0,Jun-2018,Fully Paid,home_improvement,7.86
14875, 36 months,7.35,A,A4,2 years,OWN,52956.0,Dec-2017,Current,credit_card,23.48
30000, 60 months,9.8,B,B3,10+ years,OWN,150000.0,Jan-2016,Current,credit_card,18.95
12000, 36 months,9.58,B,B1,10+ years,RENT,70000.0,Jul-2018,Current,debt_consolidation,12.43
6000, 36 months,16.02,C,C5,2 years,OWN,32000.0,Jul-2017,Current,car,13.17
6450, 36 months,18.99,D,D4,10+ years,OWN,75000.0,Feb-2016,Charged Off,debt_consolidation,16.19
40000, 60 months,7.89,A,A5,3 years,MORTGAGE,286000.0,Mar-2016,Fully Paid,credit_card,19.15
16000, 36 months,11.8,B,B4,2 years,OWN,78000.0,Nov-2018,Current,credit_card,29.71
4000, 36 months,12.62,C,C1,5 years,RENT,37300.0,Jan-2018,Current,debt_consolidation,35.52
4200, 36 months,13.99,C,C3,,OWN,13500.0,Dec-2016,Fully Paid,debt_consolidation,14.58
15000, 36 months,20.39,D,D4,10+ years,MORTGAGE,58000.0,Mar-2018,Fully Paid,debt_consolidation,25.97
28000, 36 months,17.99,D,D2,8 years,MORTGAGE,100000.0,Jan-2017,Current,debt_consolidation,23.0
15000, 36 months,20.89,D,D4,< 1 year,RENT,115000.0,Nov-2018,Current,credit_card,16.0
12000, 36 months,11.49,B,B5,10+ years,MORTGAGE,105000.0,Jul-2016,Fully Paid,moving,0.99
10000, 36 months,12.99,C,C1,10+ years,RENT,75000.0,Jul-2014,Fully Paid,credit_card,2.79
5000, 36 months,10.42,B,B3,5 years,OWN,90000.0,Sep-2017,Current,home_improvement,17.07
1400, 36 months,26.24,E,E5,4 years,MORTGAGE,40000.0,Apr-2017,Fully Paid,home_improvement,21.0
7000, 36 months,7.24,A,A3,2 years,RENT,84000.0,Jan-2017,Current,debt_consolidation,14.67
5000, 36 months,7.96,A,A5,10+ years,MORTGAGE,74000.0,Mar-2018,Current,medical,23.61
12500, 60 months,11.99,B,B5,2 years,MORTGAGE,80000.0,Feb-2018,Current,debt_consolidation,17.91
23000, 36 months,10.91,B,B4,10+ years,OWN,47157.0,Feb-2018,Current,debt_consolidation,15.6
10000, 36 months,13.59,C,C2,10+ years,RENT,70000.0,Feb-2018,Current,credit_card,18.91
25000, 60 months,10.41,B,B3,10+ years,MORTGAGE,164400.0,Apr-2018,Current,debt_consolidation,17.07
10500, 36 months,6.72,A,A3,10+ years,MORTGAGE,76000.0,Dec-2017,Fully Paid,credit_card,22.99
7800, 36 months,15.49,C,C4,10+ years,MORTGAGE,72000.0,Jun-2018,Current,home_improvement,19.53
20000, 36 months,13.66,C,C3,10+ years,RENT,53000.0,Nov-2014,Fully Paid,debt_consolidation,21.11
5300, 36 months,8.46,A,A5,1 year,MORTGAGE,60000.0,Aug-2018,Current,debt_consolidation,18.96
6000, 36 months,12.12,B,B3,5 years,RENT,45000.0,Jul-2012,Charged Off,debt_consolidation,5.55
20500, 36 months,13.06,C,C1,10+ years,MORTGAGE,75000.0,Jun-2018,Current,debt_consolidation,29.73
8000, 36 months,5.32,A,A1,6 years,RENT,75000.0,Mar-2016,Current,debt_consolidation,10.9
7500, 36 months,12.59,C,C2,10+ years,MORTGAGE,55000.0,Dec-2015,Fully Paid,debt_consolidation,18.57
30000, 60 months,10.42,B,B3,10+ years,RENT,185000.0,Jun-2017,Charged Off,debt_consolidation,15.85
6000, 36 months,15.22,C,C3,5 years,RENT,35700.0,Jul-2013,Fully Paid,debt_consolidation,7.06
15000, 60 months,12.79,C,C1,3 years,MORTGAGE,100000.0,Sep-2016,Current,debt_consolidation,9.54
3800, 36 months,17.57,D,D4,10+ years,RENT,67500.0,May-2014,Fully Paid,debt_consolidation,17.12
40000, 60 months,9.44,B,B1,10+ years,OWN,140000.0,Jun-2017,Current,debt_consolidation,20.94
9600, 36 months,11.99,C,C1,1 year,RENT,85000.0,Jun-2016,Fully Paid,debt_consolidation,12.51
18900, 36 months,8.24,B,B1,< 1 year,RENT,42000.0,Apr-2017,Current,debt_consolidation,24.31
3025, 36 months,13.56,C,C1,1 year,RENT,24000.0,Nov-2018,Current,debt_consolidation,15.9
6000, 36 months,6.89,A,A3,8 years,MORTGAGE,78000.0,Jun-2015,Fully Paid,debt_consolidation,16.11
6000, 36 months,14.07,C,C3,4 years,RENT,59000.0,Apr-2018,Current,credit_card,25.69
15000, 36 months,15.49,C,C4,1 year,MORTGAGE,35000.0,Jun-2018,Current,debt_consolidation,24.76
15000, 60 months,24.85,E,E3,,MORTGAGE,101000.0,Sep-2017,Current,debt_consolidation,24.9
9600, 36 months,12.49,B,B5,< 1 year,MORTGAGE,71000.0,Jul-2014,Fully Paid,debt_consolidation,4.72
