loan_amnt,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,dti
30275, 36 months,12.62,C,C1,< 1 year,MORTGAGE,25000.0,Nov-2017,Fully Paid,debt_consolidation,109.65
9000, 36 months,9.44,B,B1,3 years,MORTGAGE,48000.0,Feb-2018,Current,debt_consolidation,37.63
5000, 36 months,16.55,D,D2,2 years,RENT,70000.0,May-2015,Fully Paid,other,10.85
23800, 60 months,16.29,D,D1,3 years,RENT,54600.0,May-2016,Charged Off,credit_card,26.62
6000, 36 months,9.75,B,B3,9 years,RENT,105000.0,Jun-2016,Current,debt_consolidation,13.85
40000, 60 months,22.35,D,D5,10+ years,OWN,70000.0,Oct-2018,Current,credit_card,36.04
6000, 36 months,10.99,B,B3,3 years,RENT,33000.0,Oct-2014,Fully Paid,debt_consolidation,23.31
8400, 36 months,11.99,B,B5,< 1 year,RENT,15500.0,Dec-2017,Current,credit_card,36.64
9000, 36 months,6.24,A,A2,10+ years,MORTGAGE,90000.0,Oct-2015,Fully Paid,debt_consolidation,16.45
10000, 60 months,15.41,D,D1,10+ years,MORTGAGE,36000.0,Dec-2015,Fully Paid,credit_card,8.2
20000, 60 months,23.63,F,F3,10+ years,RENT,100000.0,Nov-2012,Fully Paid,debt_consolidation,11.89
20000, 36 months,12.62,C,C1,10+ years,RENT,67000.0,Oct-2017,Fully Paid,house,38.08
24000, 60 months,8.39,B,B1,,OWN,50748.0,Mar-2016,Current,home_improvement,9.16
10000, 36 months,7.89,A,A5,2 years,MORTGAGE,51250.0,Dec-2015,Fully Paid,credit_card,6.44
8000, 36 months,18.06,D,D2,,MORTGAGE,60000.0,Feb-2018,Current,debt_consolidation,14.04
10000, 36 months,13.68,C,C1,< 1 year,RENT,48000.0,Aug-2013,Charged Off,debt_consolidation,10.3
10750, 36 months,13.16,C,C3,< 1 year,MORTGAGE,85000.0,May-2009,Does not meet the credit policy. Status:Fully Paid,other,7.45
10250, 36 months,5.32,A,A1,10+ years,MORTGAGE,51800.0,Dec-2015,Fully Paid,home_improvement,19.81
12000, 36 months,8.99,B,B1,10+ years,RENT,60000.0,Aug-2016,Fully Paid,debt_consolidation,24.15
3500, 36 months,7.07,A,A2,10+ years,MORTGAGE,49862.4,Jul-2017,Fully Paid,home_improvement,22.48
15000, 36 months,12.49,B,B4,2 years,RENT,86000.0,Feb-2014,Fully Paid,debt_consolidation,10.72
13000, 60 months,11.99,C,C1,5 years,RENT,70000.0,Feb-2016,Fully Paid,other,22.99
14700, 60 months,25.57,F,F5,1 year,MORTGAGE,74000.0,Apr-2015,Charged Off,debt_consolidation,14.86
20000, 36 months,29.49,F,F2,5 years,MORTGAGE,65000.0,Mar-2017,Fully Paid,other,18.32
20925, 60 months,19.48,E,E2,,RENT,80000.0,Feb-2016,Charged Off,debt_consolidation,28.87
5000, 36 months,8.24,B,B1,10+ years,MORTGAGE,70939.0,May-2017,Current,credit_card,15.04
40000, 36 months,10.91,B,B4,10+ years,MORTGAGE,125000.0,Jan-2018,Current,small_business,27.63
26400, 36 months,8.9,A,A5,2 years,OWN,90000.0,Feb-2014,Fully Paid,credit_card,17.35
27050, 60 months,15.61,D,D1,3 years,MORTGAGE,71395.0,Jul-2014,Current,debt_consolidation,18.64
25000, 60 months,11.53,B,B5,5 years,RENT,95000.0,Jul-2015,Charged Off,debt_consolidation,36.48
4000, 36 months,7.39,A,A4,< 1 year,RENT,82000.0,Mar-2016,Fully Paid,major_purchase,16.2
16000, 36 months,14.31,C,C4,7 years,MORTGAGE,40000.0,Jan-2015,Fully Paid,debt_consolidation,10.17
20000, 36 months,11.55,B,B4,10+ years,MORTGAGE,125000.0,Sep-2018,Late (31-120 days),credit_card,16.61
11000, 36 months,8.24,B,B1,4 years,MORTGAGE,33000.0,Nov-2016,Fully Paid,debt_consolidation,22.51
7500, 36 months,11.99,B,B5,10+ years,MORTGAGE,76000.0,Nov-2017,Current,debt_consolidation,25.88
18000, 36 months,12.49,B,B4,10+ years,RENT,70000.0,May-2014,Charged Off,debt_consolidation,12.21
7125, 36 months,9.99,B,B1,4 years,MORTGAGE,75000.0,Sep-2011,Fully Paid,credit_card,9.68
10000, 36 months,11.8,B,B4,10+ years,RENT,64700.0,Dec-2018,Current,credit_card,34.09
35000, 36 months,14.49,C,C4,5 years,MORTGAGE,141000.0,Nov-2016,Current,debt_consolidation,24.28
10500, 60 months,14.08,C,C3,10+ years,MORTGAGE,80000.0,Jan-2018,Fully Paid,debt_consolidation,8.03
8000, 36 months,13.33,C,C3,10+ years,MORTGAGE,40500.0,Aug-2015,Fully Paid,debt_consolidation,29.48
5000, 36 months,9.93,B,B2,1 year,RENT,60000.0,Nov-2017,Current,moving,14.12
20000, 60 months,15.61,C,C3,10+ years,MORTGAGE,72000.0,Oct-2013,Fully Paid,debt_consolidation,9.78
20000, 36 months,22.35,D,D5,10+ years,RENT,39500.0,Oct-2018,Current,debt_consolidation,32.63
20000, 36 months,13.99,C,C3,10+ years,RENT,50000.0,Jul-2016,Fully Paid,small_business,7.37
2100, 36 months,5.32,A,A1,,MORTGAGE,49500.0,Jun-2017,Fully Paid,medical,6.84
4150, 36 months,15.59,C,C5,5 years,MORTGAGE,23000.0,Sep-2016,Current,debt_consolidation,4.12
40000, 36 months,9.58,B,B1,10+ years,MORTGAGE,203786.0,May-2018,Fully Paid,home_improvement,7.78
12000, 36 months,6.11,A,A1,5 years,OWN,50000.0,Oct-2018,Current,credit_card,15.55
5000, 36 months,6.99,A,A2,10+ years,RENT,52530.0,Oct-2016,Fully Paid,debt_consolidation,18.37
3000, 36 months,14.65,C,C5,1 year,RENT,66000.0,May-2015,Fully Paid,other,4.46
20000, 36 months,7.49,A,A4,10+ years,MORTGAGE,80000.0,Jan-2016,Fully Paid,credit_card,20.33
10000, 36 months,11.53,B,B5,5 years,MORTGAGE,49000.0,Oct-2015,Fully Paid,credit_card,36.84
3500, 36 months,19.42,D,D3,10+ years,MORTGAGE,53000.0,Jun-2018,Current,debt_consolidation,12.32
11025, 60 months,15.61,C,C5,1 year,RENT,60000.0,Apr-2014,Fully Paid,debt_consolidation,22.74
32000, 60 months,18.94,D,D2,5 years,RENT,88888.0,Dec-2018,Current,debt_consolidation,12.02
15000, 36 months,13.99,C,C3,10+ years,MORTGAGE,90000.0,Jan-2017,Fully Paid,debt_consolidation,20.0
1000, 36 months,24.37,E,E2,< 1 year,RENT,44500.0,Nov-2018,Current,other,19.42
30000, 36 months,7.21,A,A3,2 years,MORTGAGE,155000.0,May-2017,Current,credit_card,22.91
12000, 36 months,7.89,A,A5,1 year,RENT,38500.0,Dec-2015,Fully Paid,credit_card,29.52
12000, 36 months,8.18,B,B1,,MORTGAGE,65000.0,Nov-2015,Fully Paid,debt_consolidation,23.14
22000, 36 months,7.21,A,A3,9 years,MORTGAGE,90000.0,Oct-2018,Current,debt_consolidation,14.13
16000, 36 months,5.31,A,A1,10+ years,MORTGAGE,115000.0,Mar-2018,Current,credit_card,19.58
10000, 36 months,6.24,A,A2,10+ years,MORTGAGE,157000.0,Oct-2015,Fully Paid,other,27.21
9300, 36 months,20.75,E,E2,10+ years,MORTGAGE,78000.0,Feb-2016,Fully Paid,other,28.69
5000, 36 months,9.43,B,B1,10+ years,RENT,106000.0,Mar-2018,Current,debt_consolidation,27.06
14000, 36 months,9.49,B,B2,10+ years,MORTGAGE,116000.0,Aug-2016,Fully Paid,debt_consolidation,16.13
5450, 36 months,8.39,A,A5,5 years,RENT,50000.0,Aug-2014,Fully Paid,major_purchase,15.99
10000, 36 months,5.32,A,A1,10+ years,MORTGAGE,50000.0,May-2016,Current,credit_card,20.05
25000, 60 months,8.49,B,B1,10+ years,RENT,85000.0,Dec-2015,Current,medical,15.71
24000, 60 months,28.72,F,F1,8 years,RENT,53134.0,Oct-2017,Current,debt_consolidation,54.39
9600, 36 months,16.01,C,C5,6 years,MORTGAGE,70000.0,Mar-2018,Current,debt_consolidation,10.25
16000, 36 months,16.29,D,D1,7 years,MORTGAGE,47000.0,Jun-2016,Current,debt_consolidation,23.26
3000, 36 months,7.89,A,A5,10+ years,RENT,56000.0,Oct-2015,Fully Paid,debt_consolidation,37.23
12000, 60 months,14.08,C,C3,2 years,RENT,58200.0,Sep-2017,Current,debt_consolidation,17.24
20400, 60 months,17.99,D,D2,5 years,OWN,60000.0,Feb-2017,Current,debt_consolidation,24.98
25000, 36 months,24.37,E,E2,10+ years,RENT,15000.0,Dec-2018,Current,debt_consolidation,25.2
14775, 60 months,9.93,B,B2,6 years,MORTGAGE,270000.0,Jul-2017,Current,debt_consolidation,9.98
3000, 36 months,7.97,A,A5,2 years,MORTGAGE,62000.0,Jan-2018,Fully Paid,medical,7.55
15000, 36 months,12.39,C,C1,2 years,MORTGAGE,72800.0,Jan-2015,Fully Paid,debt_consolidation,9.88
3500, 36 months,7.24,A,A3,3 years,OWN,42000.0,Dec-2016,Current,other,12.63
40000, 36 months,12.61,C,C1,10+ years,MORTGAGE,190000.0,May-2018,Late (16-30 days),debt_consolidation,16.66
5000, 36 months,22.39,E,E1,< 1 year,RENT,23000.0,Oct-2016,Fully Paid,debt_consolidation,24.43
5500, 36 months,7.21,A,A3,10+ years,OWN,87000.0,Sep-2018,Current,debt_consolidation,23.81
9000, 36 months,14.99,C,C5,10+ years,RENT,66000.0,Jan-2015,Fully Paid,debt_consolidation,17.89
35000, 36 months,11.47,B,B5,9 years,RENT,132500.0,Jun-2016,Fully Paid,credit_card,8.49
3500, 36 months,12.74,C,C1,10+ years,RENT,64400.0,Mar-2017,Current,other,25.98
25000, 60 months,11.05,B,B4,10+ years,OWN,65000.0,Jun-2018,Late (31-120 days),debt_consolidation,30.98
7200, 36 months,6.97,A,A3,< 1 year,RENT,97750.0,Mar-2016,Fully Paid,medical,26.41
20000, 60 months,19.24,E,E2,10+ years,MORTGAGE,93000.0,Jan-2015,Current,debt_consolidation,15.13
6000, 36 months,6.49,A,A2,1 year,MORTGAGE,200000.0,Jun-2016,Current,debt_consolidation,16.54
12000, 60 months,8.99,B,B1,10+ years,MORTGAGE,72000.0,Aug-2016,Current,debt_consolidation,20.48
6000, 36 months,14.08,C,C3,8 years,RENT,27000.0,Sep-2017,Current,debt_consolidation,22.18
10000, 36 months,9.93,B,B2,10+ years,OWN,115000.0,Nov-2017,Current,house,6.97
5000, 36 months,6.99,A,A2,10+ years,MORTGAGE,54000.0,May-2017,Current,home_improvement,15.07
14400, 60 months,25.99,G,G4,2 years,MORTGAGE,40000.0,Feb-2015,Current,debt_consolidation,15.54
12000, 36 months,10.91,B,B4,< 1 year,RENT,60000.0,Sep-2017,Current,credit_card,7.01
10000, 36 months,11.49,B,B5,1 year,MORTGAGE,123760.0,Dec-2016,Current,debt_consolidation,16.76
1000, 36 months,9.92,B,B2,10+ years,MORTGAGE,71000.0,Mar-2018,Current,other,18.61
35000, 36 months,15.05,C,C4,2 years,RENT,85000.0,Jan-2018,Current,debt_consolidation,14.71
35000, 36 months,17.86,D,D5,< 1 year,MORTGAGE,250000.0,Jun-2015,Charged Off,debt_consolidation,13.01
4000, 36 months,8.08,A,A5,1 year,RENT,45000.0,Jun-2018,Fully Paid,major_purchase,1.39
