loan_amnt,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,dti
21000, 36 months,11.99,C,C1,10+ years,MORTGAGE,125000.0,Jan-2016,Fully Paid,debt_consolidation,31.15
5725, 36 months,15.61,D,D1,10+ years,RENT,32000.0,May-2015,Fully Paid,debt_consolidation,35.75
4800, 36 months,19.03,D,D3,,RENT,13320.0,Sep-2017,Fully Paid,debt_consolidation,64.14
24000, 60 months,19.89,E,E3,10+ years,MORTGAGE,200000.0,Jan-2016,Charged Off,small_business,18.87
7000, 36 months,5.32,A,A1,10+ years,RENT,45000.0,Oct-2017,Current,debt_consolidation,17.6
5000, 36 months,11.53,B,B5,1 year,RENT,42000.0,May-2015,Fully Paid,debt_consolidation,17.86
4000, 36 months,13.59,C,C2,10+ years,OWN,80000.0,Nov-2017,Current,home_improvement,9.45
10000, 36 months,6.67,A,A2,< 1 year,MORTGAGE,70000.0,Oct-2018,Current,debt_consolidation,7.54
20000, 36 months,14.3,C,C1,< 1 year,OWN,45000.0,Sep-2013,Fully Paid,debt_consolidation,24.64
18650, 60 months,19.05,D,D4,10+ years,MORTGAGE,67392.0,Nov-2012,Fully Paid,debt_consolidation,18.16
7000, 36 months,13.99,C,C3,1 year,RENT,35000.0,Sep-2016,Fully Paid,debt_consolidation,21.91
35000, 60 months,21.85,D,D5,< 1 year,RENT,75000.0,Apr-2018,Current,debt_consolidation,25.65
22000, 60 months,16.82,E,E2,2 years,RENT,40000.0,Aug-2010,Charged Off,debt_consolidation,15.15
9700, 36 months,8.18,B,B1,,MORTGAGE,62345.0,Aug-2015,Fully Paid,credit_card,13.86
30000, 60 months,19.92,D,D3,,MORTGAGE,45000.0,Sep-2018,Current,debt_consolidation,13.12
11500, 36 months,10.47,B,B2,9 years,MORTGAGE,50400.0,Sep-2018,Current,debt_consolidation,30.33
7000, 36 months,7.62,A,A3,< 1 year,RENT,31000.0,May-2012,Fully Paid,debt_consolidation,17.3
8000, 36 months,19.42,D,D3,5 years,MORTGAGE,70000.0,Mar-2018,Current,credit_card,14.83
6000, 36 months,7.21,A,A3,2 years,MORTGAGE,108000.0,Nov-2017,Fully Paid,debt_consolidation,8.52
5000, 36 months,13.49,C,C2,9 years,RENT,34400.0,Jun-2011,Fully Paid,debt_consolidation,18.84
12000, 60 months,15.31,C,C5,2 years,MORTGAGE,48000.0,Apr-2016,Current,debt_consolidation,32.1
35000, 36 months,12.62,C,C1,3 years,MORTGAGE,75000.0,Dec-2017,Current,debt_consolidation,16.22
15000, 60 months,15.99,C,C5,,MORTGAGE,90000.0,Oct-2016,Current,credit_card,6.12
17000, 36 months,19.42,D,D3,8 years,RENT,58000.0,Jun-2018,Current,debt_consolidation,6.68
