loan_amnt,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,dti
14700, 60 months,18.25,E,E1,9 years,OWN,35000.0,Jun-2015,Current,other,26.78
21600, 60 months,15.8,C,C3,6 years,OWN,74718.0,Feb-2013,Charged Off,debt_consolidation,17.14
30000, 36 months,13.58,C,C2,,RENT,29500.0,Apr-2018,Current,debt_consolidation,11.55
22000, 60 months,13.56,C,C1,5 years,MORTGAGE,67000.0,Oct-2018,Current,credit_card,23.41
2000, 36 months,19.99,D,D4,10+ years,RENT,50000.0,Dec-2016,Fully Paid,medical,13.39
13725, 36 months,17.57,D,D4,,RENT,48000.0,Dec-2015,Fully Paid,other,11.25
18325, 60 months,18.55,E,E2,5 years,OWN,43680.0,Jul-2015,Charged Off,debt_consolidation,28.63
14000, 60 months,9.93,B,B2,3 years,RENT,50000.0,Jun-2017,Current,debt_consolidation,14.76
7000, 60 months,24.5,F,F3,10+ years,MORTGAGE,99100.0,Jul-2013,Fully Paid,other,29.1
10000, 36 months,13.06,C,C1,10+ years,MORTGAGE,50000.0,Jun-2018,Current,debt_consolidation,17.57
10000, 36 months,12.12,B,B3,5 years,RENT,55000.0,Jun-2012,Fully Paid,debt_consolidation,18.16
12000, 60 months,17.57,D,D4,10+ years,MORTGAGE,95000.0,Oct-2014,Fully Paid,debt_consolidation,17.08
8300, 36 months,12.59,C,C2,1 year,MORTGAGE,86000.0,Dec-2015,Fully Paid,credit_card,8.88
12000, 60 months,11.98,B,B5,4 years,MORTGAGE,56000.0,May-2018,Fully Paid,debt_consolidation,16.46
3000, 36 months,14.65,C,C5,5 years,RENT,140000.0,Sep-2015,Fully Paid,debt_consolidation,9.02
14400, 36 months,7.97,A,A5,10+ years,RENT,90000.0,May-2017,Current,debt_consolidation,13.68
16000, 36 months,7.35,A,A4,10+ years,MORTGAGE,94000.0,Jan-2018,Current,home_improvement,14.11
10000, 60 months,19.03,D,D3,10+ years,MORTGAGE,65000.0,Dec-2017,Current,debt_consolidation,22.27
20000, 36 months,6.39,A,A2,2 years,OWN,75000.0,Mar-2015,Fully Paid,debt_consolidation,14.53
8000, 36 months,14.33,C,C1,10+ years,RENT,59000.0,Jun-2013,Fully Paid,debt_consolidation,10.35
10850, 36 months,15.61,D,D1,,RENT,34000.0,Sep-2014,Fully Paid,other,10.47
18000, 60 months,16.99,D,D3,10+ years,MORTGAGE,49352.0,Aug-2015,Current,debt_consolidation,24.44
13475, 36 months,14.99,C,C4,9 years,RENT,52000.0,Oct-2016,Fully Paid,debt_consolidation,26.13
