loan_amnt,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,dti
13000, 60 months,16.78,C,C5,10+ years,RENT,96000.0,Jul-2013,Fully Paid,debt_consolidation,17.03
25000, 36 months,6.08,A,A2,10+ years,RENT,55000.0,Jan-2018,Current,other,15.93
3250, 36 months,11.22,B,B5,10+ years,RENT,31000.0,Dec-2015,Fully Paid,debt_consolidation,25.44
16000, 60 months,12.74,C,C1,2 years,MORTGAGE,156000.0,Mar-2017,Fully Paid,other,5.53
14000, 60 months,12.74,C,C1,5 years,RENT,58000.0,May-2017,Current,credit_card,30.23
15000, 36 months,17.99,D,D2,< 1 year,RENT,71000.0,May-2017,Fully Paid,debt_consolidation,15.59
19200, 60 months,7.97,A,A5,10+ years,MORTGAGE,127800.0,May-2017,Current,debt_consolidation,21.0
8000, 36 months,7.21,A,A3,5 years,RENT,28000.0,Oct-2018,Current,credit_card,1.07
10000, 36 months,10.99,B,B4,3 years,MORTGAGE,56000.0,Aug-2016,Charged Off,debt_consolidation,34.27
10400, 36 months,6.03,A,A1,10+ years,RENT,50000.0,Feb-2015,Fully Paid,debt_consolidation,18.86
10000, 36 months,21.85,D,D5,< 1 year,RENT,52000.0,Apr-2018,Current,debt_consolidation,5.38
8000, 36 months,16.99,D,D3,10+ years,MORTGAGE,40000.0,Jul-2015,Fully Paid,debt_consolidation,36.57
22000, 36 months,6.24,A,A2,3 years,OWN,96000.0,Jul-2015,Fully Paid,credit_card,12.9
9600, 36 months,15.59,C,C5,1 year,OWN,65000.0,Oct-2016,Fully Paid,debt_consolidation,10.45
17500, 36 months,12.74,C,C1,5 years,RENT,54600.0,Nov-2016,Charged Off,debt_consolidation,21.36
5000, 36 months,8.9,A,A5,3 years,RENT,24000.0,Jul-2012,Fully Paid,debt_consolidation,30.65
23500, 36 months,21.18,E,E3,1 year,RENT,56000.0,Feb-2016,Fully Paid,debt_consolidation,13.44
8000, 36 months,12.62,C,C1,< 1 year,MORTGAGE,60000.0,Jul-2017,Current,credit_card,14.06
7000, 36 months,6.99,A,A3,,MORTGAGE,65000.0,Dec-2015,Fully Paid,credit_card,27.0
15000, 36 months,18.06,D,D2,10+ years,MORTGAGE,65000.0,Jun-2017,Fully Paid,debt_consolidation,22.91
9525, 36 months,11.49,B,B5,10+ years,OWN,27242.0,May-2017,Charged Off,debt_consolidation,31.81
12000, 36 months,11.44,B,B4,10+ years,MORTGAGE,150000.0,Apr-2017,Fully Paid,home_improvement,21.33
8000, 36 months,13.55,D,D4,10+ years,RENT,31800.0,Mar-2008,Does not meet the credit policy. Status:Fully Paid,home_improvement,21.28
35000, 36 months,19.99,D,D4,3 years,OWN,170000.0,Feb-2017,Current,debt_consolidation,22.19
10000, 36 months,20.0,D,D4,3 years,MORTGAGE,55000.0,Aug-2017,Fully Paid,other,1.18
32000, 60 months,9.93,B,B2,5 years,MORTGAGE,100000.0,Jun-2017,Current,debt_consolidation,18.42
10000, 60 months,16.14,C,C4,4 years,RENT,20000.0,Dec-2018,Current,credit_card,28.93
12000, 36 months,6.97,A,A3,1 year,MORTGAGE,75000.0,Apr-2016,Charged Off,debt_consolidation,12.32
28775, 60 months,16.14,C,C4,7 years,OWN,95000.0,Aug-2018,Current,debt_consolidation,49.68
8000, 36 months,6.97,A,A3,10+ years,RENT,50000.0,May-2016,Fully Paid,credit_card,12.28
8000, 36 months,5.32,A,A1,2 years,RENT,37450.0,Jul-2015,Fully Paid,credit_card,21.41
12000, 36 months,15.31,C,C2,10+ years,MORTGAGE,50000.0,Apr-2013,Fully Paid,debt_consolidation,11.3
26600, 60 months,24.99,F,F4,10+ years,RENT,70000.0,Oct-2015,Charged Off,debt_consolidation,33.62
7000, 36 months,6.03,A,A1,3 years,RENT,48000.0,Jul-2014,Fully Paid,credit_card,12.1
30000, 36 months,16.55,D,D2,10+ years,OWN,140000.0,Sep-2015,Fully Paid,debt_consolidation,19.72
10000, 36 months,9.17,B,B2,6 years,MORTGAGE,50000.0,Apr-2015,Fully Paid,debt_consolidation,36.05
30000, 36 months,30.74,F,F5,< 1 year,OWN,80000.0,Oct-2016,Charged Off,debt_consolidation,24.68
32000, 36 months,16.91,C,C5,2 years,MORTGAGE,80000.0,Oct-2018,Current,debt_consolidation,7.84
40000, 60 months,14.07,C,C3,7 years,MORTGAGE,110000.0,Apr-2018,Current,debt_consolidation,17.9
7000, 36 months,16.02,C,C5,9 years,MORTGAGE,41000.0,Jul-2017,Charged Off,credit_card,22.31
14000, 36 months,17.09,D,D1,3 years,RENT,32000.0,Dec-2017,Current,credit_card,25.69
12250, 36 months,13.59,C,C2,2 years,RENT,35000.0,Oct-2017,Current,credit_card,32.96
5000, 36 months,7.56,A,A3,2 years,OWN,88000.0,Dec-2018,Current,debt_consolidation,7.7
20000, 36 months,8.46,A,A5,< 1 year,MORTGAGE,100000.0,Oct-2018,Current,other,26.25
22000, 36 months,7.97,A,A5,7 years,MORTGAGE,100000.0,Dec-2017,Current,home_improvement,8.88
